"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Latest Traffic Source Drill-Down 1","hs_latest_source_data_1","string","Additional information about the latest source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Workflows (2)","78.61%","",""
"Latest Traffic Source Drill-Down 2","hs_latest_source_data_2","string","Additional information about the source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","Workflows (2); Views (4)","65.44%","",""
"Latest Traffic Source Date","hs_latest_source_timestamp","datetime","The time of the latest session for a contact","analyticsinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last campaign contacted","last_campaign_contacted","string","This is the campaign from the most recent website visit or phone call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0.17%","",""
"Last Keywords","last_keywords","string","These are the keywords from the last call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","","0.27%","",""
"Last Landing Page","last_landing_page","string","This is the landing page for the tracking number the caller called last.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","","0.49%","",""
"Last medium contacted","last_medium_contacted","string","This is the medium from the most recent website visit or phone call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","Views (9)","0.17%","",""
"Last Source Contacted","last_source_contacted","string","This is the name of the tracking number that the caller called last.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (2)","0.49%","",""
"Last Tracking Number Contacted","last_tracking_number_contacted","string","This is the phone number for the tracking number that the caller called last.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","2/21/24","Forms (2)","0.49%","",""
"Monetary value","monetary_value","string","The monetary value applied to the most recent call, form, or text.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0%","",""
"Most recent call sentiment","most_recent_call_sentiment","string","This is the sentiment determined for the contact's most recent phone call.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0%","",""
"Qualified score","qualified_score","string","Indicates whether the lead was scored as qualified, not qualified, or was not scored.","analyticsinformation","true","","false","false","false","false","false","false","Madhur Gusain","8/19/24","","0.17%","",""
