"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Change Prorating","hs_change_prorating","bool","Enable proration to adjust charges based on the change effective date","quoteinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Comments to buyer","hs_comments","string","Comments to the buyer. This property is not filled for CPQ_QUOTE template types","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","quoteinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Create date","hs_createdate","datetime","The date the quote was created","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Currency","hs_currency","string","Currency code for the quote","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Display TCV on Quote","hs_display_tcv_on_quote","bool","Indicates if total contract value (TCV) should be displayed on the published quote","quoteinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","50%","",""
"Automated taxes enabled","hs_enabled_automated_taxes","bool","Whether or not automated tax is enabled for the quote","quoteinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"ESign Date","hs_esign_date","datetime","The date and time the quote was signed by all signers. This includes countersigners. This will be empty or 0 if the quote has not been fully signed.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"ESign enabled","hs_esign_enabled","bool","Indicates if esign is enabled for quote","quoteinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"ESign completed signatures","hs_esign_num_signers_completed","number","Number of completed signatures collected so far","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"ESign number of signers required","hs_esign_num_signers_required","number","Total number of signers required for this quote to be fully signed. This includes both contact signers and countersigners.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Expiration date","hs_expiration_date","datetime","The date that this quote expires","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Expired","hs_expired","bool","Value representing whether this quote is expired","quoteinformation","false","Yes (true) [READ-ONLY]; No (false) [READ-ONLY]","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Approval feedback","hs_feedback","string","Feedback about this quote during the approval process","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"first sent date","hs_first_sent_date","datetime","The first time quote was sent to the customer. This is updated automatically by HubSpot.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Language","hs_language","string","The language for displaying this quote publicly","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Last Buyer Interaction Date","hs_last_buyer_interaction_date","datetime","The date of the last buyer interaction","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last published date","hs_last_published_date","datetime","The date and time of the last time this quote was published.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Last modified date","hs_lastmodifieddate","datetime","The last time any property on the quote was modified","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Locale","hs_locale","string","The locale for displaying this quote publicly","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Has been manually signed","hs_manually_signed","bool","Indicates whether the quote has been marked signed.","quoteinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","quoteinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","quoteinformation","false","","true","true","false","true","false","true","HubSpot","Not applicable","","100%","",""
"Payment date","hs_payment_date","datetime","The date and time the quote was paid by the customer. This will be 0 if the payment is processing and empty if the quote is not paid.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Payment enabled","hs_payment_enabled","bool","Indicates if payment can be collected via the quote link","quoteinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Payment status","hs_payment_status","enumeration","An enumeration representing the current status of payments on a quote. This is purely for information and should not be updated manually. Check the values for more states.","quoteinformation","false","Pending (PENDING); Processing (PROCESSING); Paid (PAID); No payment options (PAYMENT_NOT_ENABLED)","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"PDF download link","hs_pdf_download_link","string","The link to download a pdf of a quote","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"PO number","hs_purchase_order_number","string","Purchase order number","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Amount","hs_quote_amount","number","The total amount due for the quote. This can be either total contract value or the amount due at checkout depending on portal settings","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Amount in Home Currency","hs_quote_amount_in_home_currency","number","The quote amount in the portal's home currency. This will not be updated if the home currency is changed","quoteinformation","false","","true","true","true","false","false","true","HubSpot","Not applicable","","0%","",""
"Authentication method","hs_quote_auth_method","enumeration","Buyer authentication setting for shared quote links","quoteinformation","false","Public access (public_access); Password (password)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Authentication password","hs_quote_auth_password","string","The password to access the quote for a password authentication method.","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Signing Status","hs_quote_esign_status","enumeration","Calculated status for quote e-signature progress based on esign enablement and signature completion","quoteinformation","false","Not Applicable (NO_ESIGN_STATUS) [READ-ONLY]; Pending Signature (PENDING_SIGNATURE) [READ-ONLY]; Signed (SIGNED) [READ-ONLY]","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Link to hosted Quote","hs_quote_link","string","The url hosting the public quote. This will be empty if the quote is not publicly available.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Quote number","hs_quote_number","string","Reference number shown on quote document","quoteinformation","false","","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Owner ID","hs_quote_owner_id","enumeration","The owner of this quote. This will be the associated deal's owner or the quote's creator if there is no associated deal.","quoteinformation","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Status","hs_quote_status","enumeration","Derived quote status for CRM indexing","quoteinformation","false","Draft (DRAFT) [READ-ONLY]; Pending approval (PENDING_APPROVAL) [READ-ONLY]; Changes requested (CHANGES_REQUESTED) [READ-ONLY]; Published (PUBLISHED) [READ-ONLY]; Publishing (PUBLISHING) [READ-ONLY]; Accepted (ACCEPTED) [READ-ONLY]; Expired (EXPIRED) [READ-ONLY]; Void (VOID) [READ-ONLY]; Archived (ARCHIVED) [READ-ONLY]","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Has space for manual countersignature","hs_show_countersignature_box","bool","Indicates whether the quote should have a place for a manual countersignature","quoteinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Has space for manual signature","hs_show_signature_box","bool","Indicates if the quote document should have a place for a written signature","quoteinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Internal quote status","hs_status","enumeration","The current status of the quote.","quoteinformation","false","Draft (DRAFT); Pending approval (PENDING_APPROVAL); Rejected (REJECTED); Approved (APPROVED); Approval not needed (APPROVAL_NOT_NEEDED); Accepted (ACCEPTED); Voided (VOID)","false","true","false","false","false","true","HubSpot","Not applicable","","100%","",""
"Can store payment method at checkout","hs_store_payment_method_at_checkout","bool","Whether the option to store payment method is available to a customer at checkout","quoteinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Tax total","hs_tax_total","number","Total tax collected for the quote.","quoteinformation","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
