"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Recipient shipping street address","hs_recipient_shipping_address","string","The shipping address of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping street address 2","hs_recipient_shipping_address2","string","Additional shipping address of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping city","hs_recipient_shipping_city","string","The shipping city of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping country","hs_recipient_shipping_country","string","The shipping country of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping country code","hs_recipient_shipping_country_code","string","The shipping country of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping name","hs_recipient_shipping_name","string","The shipping name of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping state/region","hs_recipient_shipping_state","string","The shipping state or region of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Recipient shipping postal code","hs_recipient_shipping_zip","string","The shipping postal or zip code of the recipient.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company street address","hs_sender_company_address","string","The address of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company street address 2","hs_sender_company_address2","string","Additional address of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company city","hs_sender_company_city","string","The city of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company country","hs_sender_company_country","string","The country of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company state/region","hs_sender_company_state","string","The state or region of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Sender company postal code","hs_sender_company_zip","string","The postal or zip code of the sender's company or organization.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Slug","hs_slug","string","Slug of the hosted rendered credit memo.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Subtotal","hs_subtotal","number","The sum of all line items of the invoice including line item level taxes.","credit_memo_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Taxes total","hs_taxes_total","number","The sum of all taxes applied to the credit memo.","credit_memo_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Timezone","hs_timezone","string","The timezone of the credit memo.","credit_memo_information","false","","false","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","credit_memo_information","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","credit_memo_information","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","credit_memo_information","false","","false","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","credit_memo_information","false","","true","true","false","true","false","true","HubSpot","Not applicable","","0%","",""
