currentPath,proposedDomain,proposedPath,runtimeConsumerCount,testConsumerCount,tablesReferenced,serverOnly,mutationBearing,duplicateOf,deletionReason,migrationRisk,proposeReason
src/lib/team/compliance/types.ts,compliance,src/lib/team/compliance/types.ts,8,0,,false,false,,,high,canonical team/compliance module
src/lib/team/directory/index.ts,directory,src/lib/team/directory/index.ts,0,0,,false,false,,,low,canonical team/directory module
src/lib/team/directory/projectStaffDirectoryEntry.test.ts,directory,src/lib/team/directory/projectStaffDirectoryEntry.test.ts,0,0,,false,false,,,low,canonical team/directory module
src/lib/team/directory/projectStaffDirectoryEntry.ts,directory,src/lib/team/directory/projectStaffDirectoryEntry.ts,0,0,,false,false,,,high,canonical team/directory module
src/lib/team/directory/types.ts,directory,src/lib/team/directory/types.ts,3,0,,false,false,,,high,canonical team/directory module
src/lib/team/identity/adapters/fromStaffProfileHub.ts,identity,src/lib/team/identity/fromStaffProfileHub.ts,0,0,fi_staff,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/adapters/fromWorkforceIdentityLink.ts,identity,src/lib/team/identity/fromWorkforceIdentityLink.ts,0,0,fi_staff,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/adapters/index.ts,identity,src/lib/team/identity/index.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/constants.ts,identity,src/lib/team/identity/constants.ts,4,0,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/index.ts,identity,src/lib/team/identity/index.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/internal/identityResolutionErrors.ts,identity,src/lib/team/identity/identityResolutionErrors.ts,1,0,fi_staff_members,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/internal/loadStaffIdentityRows.server.ts,identity,src/lib/team/identity/loadStaffIdentityRows.server.ts,0,0,fi_staff_members|fi_staff,true,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/internal/normaliseStaffIdentity.ts,identity,src/lib/team/identity/normaliseStaffIdentity.ts,2,1,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/internal/staffIdentityRowTypes.ts,identity,src/lib/team/identity/staffIdentityRowTypes.ts,1,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/resolveStaffIdentities.server.ts,identity,src/lib/team/identity/resolveStaffIdentities.server.ts,0,0,fi_staff,true,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/resolveStaffIdentity.server.ts,identity,src/lib/team/identity/resolveStaffIdentity.server.ts,0,0,fi_staff,true,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/server.ts,identity,src/lib/team/identity/server.ts,17,0,,true,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffCanonicalLifecycle.test.ts,identity,src/lib/team/identity/staffCanonicalLifecycle.test.ts,0,0,fi_staff,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffCanonicalLifecycle.ts,identity,src/lib/team/identity/staffCanonicalLifecycle.ts,1,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffEmploymentStatusPredicates.ts,identity,src/lib/team/identity/staffEmploymentStatusPredicates.ts,1,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityArchitecture.static.test.ts,identity,src/lib/team/identity/staffIdentityArchitecture.static.test.ts,0,0,fi_staff_members,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityAudit.ts,identity,src/lib/team/identity/staffIdentityAudit.ts,0,0,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityAuditAccess.server.ts,identity,src/lib/team/identity/staffIdentityAuditAccess.server.ts,1,0,,true,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityDualTableAllowlist.ts,identity,src/lib/team/identity/staffIdentityDualTableAllowlist.ts,0,2,fi_staff_members,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityIntegrity.test.ts,identity,src/lib/team/identity/staffIdentityIntegrity.test.ts,0,0,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityIntegrity.ts,identity,src/lib/team/identity/staffIdentityIntegrity.ts,1,1,fi_staff_members|fi_staff,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityKeys.ts,identity,src/lib/team/identity/staffIdentityKeys.ts,1,1,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityReadiness.ts,identity,src/lib/team/identity/staffIdentityReadiness.ts,0,0,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityReadinessAudit.server.test.ts,identity,src/lib/team/identity/staffIdentityReadinessAudit.server.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffIdentityReadinessAudit.server.ts,identity,src/lib/team/identity/staffIdentityReadinessAudit.server.ts,0,0,fi_staff_members|fi_staff,true,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/staffLifecycle.test.ts,identity,src/lib/team/identity/staffLifecycle.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffLifecycleCore.ts,identity,src/lib/team/identity/staffLifecycleCore.ts,7,0,,false,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/staffLifecyclePresentation.test.ts,identity,src/lib/team/identity/staffLifecyclePresentation.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/staffLifecyclePresentation.ts,identity,src/lib/team/identity/staffLifecyclePresentation.ts,3,0,,false,false,,,medium,canonical team/identity module (B1)
src/lib/team/identity/staffLifecycleTypes.ts,identity,src/lib/team/identity/staffLifecycleTypes.ts,20,3,,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/types.ts,identity,src/lib/team/identity/types.ts,41,11,fi_staff_members,false,false,,,high,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityLinks.pure.test.ts,identity,src/lib/team/identity/workforceIdentityLinks.pure.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityLinks.server.ts,identity,src/lib/team/identity/workforceIdentityLinks.server.ts,0,0,fi_staff,true,true,,,high,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityMetadata.test.ts,identity,src/lib/team/identity/workforceIdentityMetadata.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityMetadata.ts,identity,src/lib/team/identity/workforceIdentityMetadata.ts,2,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityReadinessSignals.test.ts,identity,src/lib/team/identity/workforceIdentityReadinessSignals.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentityReadinessSignals.ts,identity,src/lib/team/identity/workforceIdentityReadinessSignals.ts,0,3,,false,false,,,low,canonical team/identity module (B1)
src/lib/team/identity/workforceIdentitySources.test.ts,identity,src/lib/team/identity/workforceIdentitySources.test.ts,0,0,,false,false,,,low,canonical team/identity module (B1)
